"year","scenario","w_SHK","w_GJG","w_semi","N_SHK_sup","N_SHK_dem","N_GJG","Q","Q_demand","p_install","pi_sector","L_gap","CR","r_loan","def_G","wage_share"
2033,"Scenario B",29.0636080963081,24.0686315463647,23.3909823276427,52724.672145102,89651.2077669827,38200.4824256312,477236.646533719,595682.469385063,19887.7363536769,0.026589301020796,17826.2944090651,0,0.035,1.20675625401962,0.418978660681238
2034,"Scenario B",29.6866526193149,24.7906904927557,24.1072100978285,53779.165588004,94133.7681553319,38154.2273530136,484089.500001972,625466.592854316,20431.8956369892,0.0273615495315891,21277.4888908211,0,0.035,1.24145390420466,0.420105259541382
2025,"Scenario C",27.2228571428571,12.82,12,45000,75250.8361204013,18000,300196,5e+05,18733.110367893,0.031,30070.8361204013,0.08,0.045,0.3028725,0.482039562950796
2026,"Scenario C",28.5801668081796,13.1405,12.5759908,45900,75250.8361204013,19710.75,306289.669833333,5e+05,19441.4482805027,0.0378120823877581,29153.7286204013,0.0575999999999999,0.0422,0.339949457367188,0.487311632069477
2027,"Scenario C",29.7845074085728,13.4690125,13.0288807961813,46818,75250.8361204013,19278.1808491781,312360.528016423,5e+05,20094.6694521351,0.0335994089641714,28240.0543119096,0.0506529977306194,0.0413316247163274,0.340801202220728,0.490820779292534
2028,"Scenario C",30.9062005743738,13.8057378125,13.4242958454533,47754.36,75250.8361204013,19073.2638138676,318568.504417855,5e+05,20719.2838019236,0.031083584195116,27305.7434822627,0.0333176991538555,0.0391647123942319,0.345608129268806,0.493288650559165
2029,"Scenario C",31.9770843138293,14.1508812578125,13.7951809116531,48709.4472,75250.8361204013,18974.2438317088,324907.948930151,5e+05,21330.5730110871,0.0295033947605265,26351.6464820842,0.00925100918828814,0.036156376148536,0.35240923123782,0.495107509750904
2030,"Scenario C",33.0111285123821,14.5046532892578,14.1581305244586,49683.636144,75250.8361204013,18925.722024138,331377.669242404,5e+05,21935.7027395692,0.0283691267068877,25377.94275616,0,0.035,0.360295735024302,0.496463795631822
2031,"Scenario C",34.0137685274121,14.8672696214892,14.5215543351275,50677.30886688,75250.8361204013,18901.5670341859,337978.467480652,5e+05,22537.90102874,0.0274528833801406,24384.5115831795,0,0.035,0.368831785042736,0.49744887845671
2032,"Scenario C",34.986403499667,15.2389513620265,14.8897700366392,51690.8550442176,75250.8361204013,18889.2399660652,344712.099682658,5e+05,23138.4968624599,0.0266482594343667,23371.0886765231,0,0.035,0.377806024454925,0.498109759975127
2033,"Scenario C",35.9285607570395,15.6199251460771,15.265052795041,52724.672145102,75250.8361204013,18882.6725958522,351580.803609935,5e+05,23737.9147180841,0.0259056523501611,22337.3372493408,0,0.035,0.387116536412935,0.498472567259321
2034,"Scenario C",36.8378212626324,16.0104232747291,15.6484235718416,53779.165588004,75250.8361204013,18878.9140014467,358587.076970612,5e+05,24335.7967939129,0.0251867985427272,21282.8813923829,0,0.035,0.396715467921112,0.498547385729458
